,respondent,task,complexity,interval,time,company,purpose,purpose_tokens,purpose_token_count,purpose_word_count,detail,desc_tokens,desc_token_count,desc_token_count_group,desc_word_count,desc_word_count_group,desc_eval_comp,desc_eval_elem,desc_eval_char,desc_eval_sum,PQ1,ATT1,PQ2,HQ1,PQ3,HQ2,HQ3,ATT2,PQ4,HQ4,PQ,HQ,ATT,familiarity
87,20,4,5.27,2s,99.0,1.0,1.0,weather forcasts,2,4,0.0,page weather forcast showing different day,6,med,9,low,0,1,0,1,7,6,7,5,7,5,5,7,7,5,7.0,5.0,6.5,False
88,20,5,7.5,2s,114.0,0.5,0.0,,0,2,0.0,item rock,2,low,7,low,0,0,0,0,3,3,3,4,3,4,4,3,2,3,2.75,3.75,3.0,False
89,20,6,8.0,2s,119.0,1.0,0.0,,0,2,0.0,white building,2,low,4,low,0,1,0,1,3,3,5,3,4,3,5,5,4,4,4.0,3.75,4.0,False
90,21,1,0.22,2s,209.0,1.0,1.0,child clothing age range,4,7,1.0,page small company logo top left picture big biggest taking primary focus colour striking,14,high,28,high,1,2,1,3,5,4,5,5,5,4,4,5,5,4,5.0,4.25,4.5,False
91,21,2,2.0,2s,149.0,1.0,1.0,sunglass spectacle,2,3,0.0,picture page central person smiling whilst wearing sunglass light blue white primary colour bit text top screen,17,high,34,high,2,2,1,3,5,4,5,5,5,4,4,5,5,5,5.0,4.5,4.5,False
92,21,3,2.97,2s,169.0,1.0,1.0,outdoor specialist providing footwear clothing accessory backpack,7,14,0.0,big snow leopard big focus black orange primary colour image bottom tab click department footwear backpack,16,high,33,high,1,2,1,3,5,6,6,6,5,5,6,6,5,6,5.25,5.75,6.0,False
93,21,4,5.27,2s,172.0,1.0,1.0,weather forcast region country,4,11,0.0,page providing weather information entire region country big image middle left screen displayed region weather symbol hand side text time read,21,high,43,high,2,3,0,3,4,4,5,4,4,5,4,5,5,5,4.5,4.5,4.5,False
94,21,5,7.5,2s,159.0,1.0,1.0,food,1,8,0.0,yellow stand colour item pictured bottom screen imagine product website,10,med,27,high,1,1,1,2,4,3,5,3,5,3,3,4,4,4,4.5,3.25,3.5,False
95,21,6,8.0,2s,142.0,1.0,0.5,news bulletin world,3,7,1.0,page full text wer image black red colour prominant heading click,11,med,23,med,1,1,2,3,2,2,4,4,3,4,3,3,3,3,3.0,3.5,2.5,False
96,22,1,0.22,2s,86.0,1.0,1.0,clothing,1,1,1.0,large picture girl top screen woman small boy lower screen statement item clothing woman girl yellow,16,high,28,high,1,2,0,2,5,5,4,5,5,4,4,5,5,5,4.75,4.5,5.0,False
97,22,2,2.0,2s,75.0,1.0,1.0,glass prescription,2,3,0.0,family wearing sunglass beach box type glass offer contact ect,10,med,16,med,1,2,0,2,5,5,5,5,4,5,5,5,5,5,4.75,5.0,5.0,False
98,22,3,2.97,2s,132.0,1.0,1.0,sport equipment clothing specifically hill sport cross country running,9,11,0.0,large snow panther woman running hill type product running logo top left corner red blue,15,high,25,high,1,3,0,3,4,4,5,5,3,5,4,5,6,5,4.5,4.75,4.5,False
99,22,4,5.27,2s,55.0,1.0,1.0,weather report,2,3,1.0,large weather map red zone map,6,med,7,low,0,1,0,1,6,5,5,4,5,4,4,5,5,5,5.25,4.25,5.0,False
100,22,5,7.5,2s,78.0,1.0,1.0,product accessory,2,4,0.0,large picture logo delivery min example item bottom screen large cardboard box,12,med,17,med,2,4,0,4,5,3,5,3,4,4,4,5,5,4,4.75,3.75,4.0,False
101,22,6,8.0,2s,91.0,1.0,1.0,information article technology,3,6,0.0,lot writing picture coin corner stock,6,med,11,low,1,1,1,2,3,3,5,4,4,3,3,4,3,3,3.75,3.25,3.5,False
102,23,1,0.22,2s,99.0,1.0,1.0,clothes child,2,3,0.0,girl image huge page looked clean grey white,8,med,19,med,1,1,1,2,6,6,6,6,6,6,4,6,6,5,6.0,5.25,6.0,False
103,23,2,2.0,2s,91.0,1.0,1.0,sell contact lens lens,4,6,0.5,summer add picture family,4,low,10,low,0,1,0,1,5,4,5,3,5,5,4,5,4,5,4.75,4.25,4.5,False
104,23,3,2.97,2s,91.0,1.0,0.5,extreme winter sport service,4,4,0.0,picture white feline red black logo mountain,7,med,16,med,1,2,0,2,3,7,5,6,3,6,6,6,3,5,3.5,5.75,6.5,False
105,23,4,5.27,2s,84.0,1.0,1.0,data weather,2,4,0.0,showed weather period time icon weather data,7,med,15,med,1,1,0,1,6,4,6,4,6,2,3,5,5,4,5.75,3.25,4.5,False
106,23,5,7.5,2s,75.0,0.0,0.0,food,1,1,0.0,picking food red yellow colour,5,low,10,low,0,1,1,2,2,4,3,2,5,5,4,3,3,3,3.25,3.5,3.5,False
107,23,6,8.0,2s,75.0,1.0,0.0,idea,1,2,0.0,thing focus picture house,4,low,19,med,0,0,0,0,2,4,3,4,3,5,4,3,3,4,2.75,4.25,3.5,False
108,24,1,0.22,2s,81.0,1.0,1.0,selling clothing,2,2,0.0,neautral tone colour child striped top,6,med,12,med,1,1,1,2,5,6,5,6,5,6,5,5,5,5,5.0,5.5,5.5,False
109,24,2,2.0,2s,70.0,0.0,0.0,selling holiday,2,2,1.0,family holiday picture eye,4,low,11,low,1,2,0,2,5,4,4,4,5,3,3,3,4,3,4.5,3.25,3.5,False
110,24,3,2.97,2s,88.0,1.0,1.0,outdoor clothing,2,2,0.0,snow leopard large picture mountain running,6,med,13,med,0,2,0,2,4,4,5,5,5,5,4,5,5,4,4.75,4.5,4.5,False
111,24,4,5.27,2s,103.0,1.0,1.0,weather forecast,2,2,0.0,weather chart word weathery picture cloud sun blue square,9,med,19,med,1,3,0,3,4,4,6,4,5,4,4,4,5,4,5.0,4.0,4.0,False
112,24,5,7.5,2s,103.0,1.0,1.0,food,1,2,0.0,looked discount website remember big red circle price looked cheap,10,med,22,med,1,1,1,2,6,1,5,1,6,1,1,1,5,1,5.5,1.0,1.0,False
113,24,6,8.0,2s,110.0,1.0,0.5,technology,1,1,0.0,lot information word page interesting,5,low,16,med,0,0,1,1,2,1,2,2,3,4,1,1,3,1,2.5,2.0,1.0,False
114,25,1,0.22,2s,139.0,1.0,1.0,sustainable fashion,2,2,0.0,lot neutral colour beige pretty simple design big picture middle showing wearing clothes big sticker sustainable fashion blue logo wording site,21,high,36,high,3,3,3,6,7,7,7,6,7,6,4,7,7,6,7.0,5.5,7.0,False
115,25,2,2.0,2s,119.0,1.0,0.0,vacation colthing,2,3,1.0,pretty simple big picture family ready vacation smaller picture underneath sunglass colour picture navigation bar top,16,high,36,high,3,4,1,5,7,4,7,4,7,4,3,6,7,4,7.0,3.75,5.0,False
116,25,3,2.97,2s,91.0,1.0,1.0,hiking gear,2,2,0.0,big picture snow leopard picture walking mountain picture thing layered eachother,11,med,24,high,1,3,0,3,4,5,5,5,6,6,5,5,3,5,4.5,5.25,5.0,False
117,25,4,5.27,2s,122.0,1.0,1.0,show weather forecast,3,4,0.0,big map showing weather forecast small banner side news article ice berg lot white blue colour wise lot text,19,high,33,high,2,2,2,4,5,3,6,4,7,2,2,4,5,2,5.75,2.5,3.5,False
118,25,5,7.5,2s,115.0,1.0,1.0,pretty food,2,5,0.0,massive yellow banner writing lot small icon different animal hamster cardboard box bright colour,14,high,25,high,2,4,1,5,2,1,2,1,2,1,1,1,2,1,2.0,1.0,1.0,False
119,25,6,8.0,2s,109.0,1.0,1.0,tech news,2,4,0.0,banner side different article big article middle picture title yellow woman shocked lot text lot colour picture,17,high,41,high,3,4,2,6,2,2,3,3,3,3,2,3,3,2,2.75,2.5,2.5,False
120,26,1,0.22,2s,53.0,1.0,1.0,clothing,1,1,0.0,woman wearing jumper,3,low,5,low,0,1,0,1,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,False
121,26,2,2.0,2s,66.0,1.0,1.0,contact lens,2,2,1.0,beach family word contact lens picture putting,7,med,22,med,1,2,0,2,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,False
122,26,3,2.97,2s,48.0,1.0,1.0,sport gear,2,2,0.0,white tiger,2,low,3,low,0,1,0,1,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,False
123,26,4,5.27,2s,50.0,1.0,1.0,tell weather,2,4,0.0,website update weather,3,low,8,low,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,False
124,26,5,7.5,2s,42.0,1.0,0.0,,0,3,0.0,,0,low,3,low,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,False
125,26,6,8.0,2s,74.0,1.0,0.0,looked sort home,3,17,0.0,,0,low,10,low,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,False
126,28,1,0.22,2s,139.0,1.0,1.0,clothing,1,1,0.0,circular logo picture modelling clothes,5,low,7,low,1,2,0,2,6,6,5,6,6,6,5,6,5,5,5.5,5.5,6.0,False
127,28,2,2.0,2s,144.0,1.0,1.0,eye product,2,3,0.0,logo phone number top page large picture caption ready vacation blue white theme,13,high,20,med,1,2,1,3,5,5,3,5,4,5,5,5,3,4,3.75,4.75,5.0,False
128,28,3,2.97,2s,119.0,1.0,1.0,outdoor equiptment,2,2,0.0,picture wild running hill,4,low,9,low,1,1,0,1,2,5,1,4,4,4,6,2,1,5,2.0,4.75,3.5,False
129,28,4,5.27,2s,145.0,1.0,1.0,weather forecast,2,2,0.0,display symbol relating weather forecast,5,low,6,low,0,1,0,1,5,5,6,4,5,3,4,5,5,5,5.25,4.0,5.0,False
